jw_id,titulo_pt,titulo_original,ano,duracao_min,imdb_id,imdb_nota,imdb_votos,servicos
2870861,A Greve da Seleção da França, Le Bus: Les Bleus en grève,2026,81,tt37024319,7,1883,Netflix
1504613,Voltando às Raízes,#AAY,2024,142,tt28359277,6.3,883,Netflix
1191922,Crescer é Muito Chato,#FBF,2022,83,tt14433518,5.2,114,HBO Max
1280008,#Sem_Filtro - Noite Sangrenta,#No_Filter,2023,87,tt18940322,4,472,Prime Video
1422464,#OOTD: Outfit of the Designer,#OOTD: Outfit of the Designer,2024,107,tt30476508,5.7,61,Netflix
1200029,#PartiuFama: Cancelado no Amor,#PartiuFama: Cancelado no Amor,2022,110,tt21844020,5.6,29,HBO Max
320206,#REALITYHIGH,#realityhigh,2017,99,tt6119504,5.1,7313,Netflix
1645005,#SalveRosa,#SalveRosa,2025,95,tt32221511,6.1,638,Netflix
1541457,#SeAcabó: O Beijo Que Mudou o Futebol Espanhol,#SeAcabó: Diario de las campeonas,2024,95,tt33615797,7,761,Netflix
1945316,#Skyking,#Skyking,2026,91,tt39368489,7.3,1416,Disney+
1286865,#Manhole - Desvio Fatal,#マンホール,2023,99,tt24670176,5.6,863,Prime Video
820190,#Alive,#살아있다,2020,98,tt10620868,6.3,56433,Netflix
767,A Consoada,'Twas the Night,2001,84,tt0282223,5.2,1441,Disney+
1395205,Uma Mensagem Antes do Natal,'Twas the Text Before Christmas,2023,85,tt27915407,5.9,4615,Netflix
2193,(500) Dias com Summer,(500) Days of Summer,2009,95,tt1022603,7.6,628028,Disney+
1586251,Coisa de Loucos 2,(MAD)²,2025,127,tt32327574,5.8,1716,Netflix
1173512,A Dupla Explosiva,...altrimenti ci arrabbiamo!,2022,90,tt14845950,3.3,1256,Netflix
460456,0.0MHZ Frequência da Morte,0.0MHz,2019,102,tt10341248,4.9,1430,Prime Video
351150,O Dólar da Sorte,1 Buck,2017,90,tt4685428,5.2,4317,Prime Video
414576,1 Contra Todos,1 Contra Todos,2016,60,tt7360050,7.6,35,Netflix
912344,1 Contra Todos: O Filme 2,1 Contra Todos: O Filme 2,2017,123,,,,Netflix
1562190,1 Contra Todos: O Filme 3,1 Contra Todos: O Filme 3,2018,90,,,,Netflix
1555687,A Brother and 7 Siblings,1 Kakak 7 Ponakan,2025,131,tt32881480,8,2756,Netflix
1287566,10,10,2022,124,tt16961300,6.9,90,Prime Video
1904128,10Dance,10 Dance,2025,126,tt34762360,7,4341,Netflix
829097,E Agora? A Mamãe Saiu de Férias 2! E Levou a Família...,10 giorni con Babbo Natale,2020,100,tt10803866,6.1,1258,Prime Video
1925168,10 Out of 10,10 Out of 10,2025,48,tt39089399,,,Prime Video
874,10 Coisas Que Odeio em Ti,10 Things I Hate About You,1999,97,tt0147800,7.4,462288,Disney+
1028,10 minutos para morrer,10 to Midnight,1983,102,tt0085121,6.3,10929,Prime Video
700,10.000 AC,"10,000 BC",2008,109,tt0443649,5.2,140199,HBO Max
1656443,100 awit para kay Stella,100 awit para kay Stella,2025,129,tt11905628,7.4,75,Netflix
240733,100 Metros,100 metros,2016,108,tt5089786,7.5,7556,Netflix
1670264,100 Noites de Desejo,100 Nights of Hero,2025,91,tt33350512,5.9,1954,MUBI
2635559,100 Things to do Before You Die,100 Things to do Before You Die,2026,,tt39334765,,,Prime Video
1321920,1000% Me: Growing Up Mixed,1000% Me: Growing Up Mixed,2023,59,tt27561913,7.2,234,HBO Max
1695,Os 101 Dálmatas,101 Dalmatians,1996,103,tt0115433,5.8,124681,Disney+
2125,Os 101 Dálmatas II - A Aventura de Patch em Londres,101 Dalmatians II: Patch's London Adventure,2003,74,tt0324941,5.7,12298,Disney+
560,Os 102 Dálmatas,102 Dalmatians,2000,100,tt0211181,4.9,42332,Disney+
1539238,11 no Zokugun,11 no Zokugun,2024,155,tt33311738,6.2,1352,Netflix
576577,11:11,11:11,2015,60,tt3894528,6,12,Netflix
1172600,11M: Terror em Madrid,11M,2022,92,tt6275154,6.9,3329,Netflix
1219476,A Casa da Morte,11th Hour Cleaning,2022,72,tt7661648,3.4,477,Prime Video
182291,Revivendo o Natal,12 Dates of Christmas,2011,89,tt1846442,6.3,9381,Disney+
361618,12 Dias de Presentes,12 Days of Giving,2017,85,tt6303962,6.1,1322,Prime Video
313149,12 Indomáveis,12 Strong,2018,130,tt1413492,6.6,102110,Prime Video
188852,12 Anos Escravo,12 Years a Slave,2013,133,tt2024544,8.1,749919,Prime Video|Paramount+|MUBI
102558,127 Horas,127 Hours,2010,94,tt1542344,7.5,428275,Disney+
1358403,12th Fail,12वीं फेल,2023,146,tt23849204,8.7,177718,Netflix
1403043,13 Bom di Jakarta,13 Bom di Jakarta,2023,143,tt27490380,6.5,2106,Netflix
214686,13 Câmeras,13 Cameras,2016,89,tt4392454,5.2,6888,Prime Video
1259722,13 Exorcismos,13 exorcismos,2022,104,tt21199996,4.4,1124,Prime Video
1320,"De Repente, Já nos 30!",13 Going on 30,2004,97,tt0337563,6.4,253478,Netflix
214019,13 Horas: Os Soldados Secretos de Benghazi,13 Hours: The Secret Soldiers of Benghazi,2016,144,tt4172430,7.3,182584,Paramount+
1082113,13 Minutos de Tormenta,13 Minutes,2021,109,tt9274670,4.7,6960,Netflix
138204,13 Pecados,13 Sins,2014,93,tt2059171,6.3,42629,Prime Video
2427,13 Tzameti,13 Tzameti,2006,93,tt0475169,7.3,18743,MUBI
1255968,Os 13 Sobreviventes da Caverna,13 หมูป่า: เรื่องเล่าจากในถ้ำ,2022,102,tt22029210,7.4,925,Netflix
1137797,137 Disparos,137 Shots,2021,104,tt16379224,6.5,1351,Netflix
1137613,13: O Musical,13: The Musical,2022,91,tt3975918,5.2,1299,Netflix
1250496,13:14: The Challenge of Helping,13:14: El Reto de Ayudar,2022,89,tt16292538,3.9,251,Prime Video
244788,A 13ª Emenda,13th,2016,100,tt5895028,8.2,39643,Netflix
1119272,14 Montanhas: Nada é Impossível,14 Peaks: Nothing Is Impossible,2021,101,tt14079374,7.7,35150,Netflix
461427,15 August,15 August,2019,124,tt9817300,5.8,335,Netflix
1341704,15 Anos em Silêncio,15 Jahre,2024,144,tt27720660,6.1,309,Prime Video
733,15 Minutos,15 Minutes,2001,120,tt0179626,6.1,52562,Netflix
408600,A Caminho da Vitória,1500 Steps,2014,98,tt2380942,5.4,107,Prime Video
32236,16 Blocks,16 Blocks,2006,105,tt0450232,6.6,139290,Prime Video
150977,"17 Anos, Outra Vez!",17 Again,2009,102,tt0974661,6.4,234405,HBO Max
843938,18 Dádivas,18 regali,2020,110,tt10816484,6.9,4641,Netflix
1129112,18 Pages,18 పేజెస్,2022,137,tt11915042,7.1,3311,Netflix
2860456,180,180,2026,94,tt40891145,4.6,2342,Netflix
1208558,1883: O Caminho Para o Oeste,1883: The Road West,2022,40,tt19860606,8.6,9320,Paramount+
1958884,18 Rosas,18th Rose,2026,131,tt39751309,5.6,315,Netflix
448704,Pathinettam Padi,18ാം പടി,2019,156,,,,Prime Video
420155,1917,1917,2019,119,tt8579674,8.2,786998,Prime Video
317542,1922,1922,2017,101,tt6214928,6.2,79739,Netflix
1177,1941 - Ano Louco em Hollywood,1941,1979,118,tt0078723,5.7,40226,Netflix
1535985,1978,1978,2025,81,tt33304396,4.8,1485,HBO Max
1471611,1992,1992,2024,97,tt4959750,5.7,4939,HBO Max
138322,Velocidade + Furiosa,2 Fast 2 Furious,2003,108,tt0322259,6,330488,Netflix|Prime Video|Disney+
182570,2 Filhos de Francisco,2 Filhos de Francisco,2005,132,tt0439547,6.9,7243,Netflix|Prime Video|HBO Max
167384,Dois Tiros,2 Guns,2013,109,tt1272878,6.7,228027,Prime Video
1156466,Joey e Anna: Mundo de Aventuras,2 kleine kleutertjes: Een dag om nooit te vergeten,2022,66,tt16449300,6.9,43,Prime Video
432566,"2,215","2,215 เชื่อ บ้า กล้า ก้าว",2018,90,tt8891536,7.6,340,Netflix
233403,2.0 (Hindi),2.0,2018,149,tt5080556,6,30880,Prime Video
168508,20 Anos Mais Jovem,20 Ans d'écart,2013,92,tt2186812,6.3,13585,Prime Video
1299805,20 Dias em Mariupol,20 Days in Mariupol,2023,94,tt24082438,8.6,65683,Netflix
562,Vinte Mil Léguas Submarinas,"20,000 Leagues Under the Sea",1954,127,tt0046672,7.2,39828,Disney+
362,2001: Odisseia no Espaço,2001: A Space Odyssey,1968,161,tt0062622,8.3,793494,HBO Max
143713,2012,2012,2009,158,tt1190080,5.9,427310,Netflix|HBO Max
1308672,Todos Somos Heróis,2018,2023,150,tt9006564,8.3,17152,Prime Video
1137707,The 2021 Rock & Roll Hall of Fame Induction Ceremony,2021 Rock & Roll Hall of Fame Induction Ceremony,2021,196,tt15716316,7.1,125,HBO Max
1907574,2025 Rock & Roll Hall of Fame Induction Ceremony,2025 Rock & Roll Hall of Fame Induction Ceremony,2025,261,tt38263655,7.4,89,Disney+
