jw_id,imdb_id,titulo_original,titulo_pt,ano,servicos,motivo
912344,,1 Contra Todos: O Filme 2,1 Contra Todos: O Filme 2,2017,Netflix,sem_imdb_id
1562190,,1 Contra Todos: O Filme 3,1 Contra Todos: O Filme 3,2018,Netflix,sem_imdb_id
448704,,18ാം പടി,Pathinettam Padi,2019,Prime Video,sem_imdb_id
2953718,,2026 Disney Legends Awards Ceremony,2026 Disney Legends Awards Ceremony Live!,2026,Disney+,sem_imdb_id
1246582,,24 Jam Bersama Gaspar,24 Horas com Gaspar,2023,Netflix,sem_imdb_id
449027,,42 to 1,42 to 1,2018,Disney+,sem_imdb_id
2879475,,5 Bomoh,5 Bomoh,2026,Netflix,sem_imdb_id
1162138,,500 - Os bebês roubados pela ditadura argentina,500 - Os bebês roubados pela ditadura argentina,2013,Prime Video,sem_imdb_id
182484,,A Casa Fantastica,A Casa Fantastica,2013,Prime Video,sem_imdb_id
948339,,A Christmas Gift from Bob,A Christmas Gift from Bob,2020,Prime Video,sem_imdb_id
1263777,,A Merry Christmas Wish,Desejo de Natal,2022,Netflix,sem_imdb_id
1230259,,A Ponte - The Bridge Brasil,A Ponte - The Bridge Brasil,2022,HBO Max,sem_imdb_id
1603121,,A Scam Called Love,Um Golpe Chamado Amor,2025,Prime Video,sem_imdb_id
1220849,,A Verdade da Mentira,A Verdade da Mentira,2020,Prime Video,sem_imdb_id
1307793,,A Whole Lifetime with Jamie Demetriou,A Whole Lifetime with Jamie Demetriou,2023,Netflix,sem_imdb_id
173410,,Action Jackson,Action Jackson,2011,Prime Video,sem_imdb_id
2883444,,Adili Idola Celebrity Roast: Fedi Nuril,Adili Idola Celebrity Roast: Fedi Nuril,2026,Netflix,sem_imdb_id
850730,,Adú,Adú,2020,Netflix,sem_imdb_id
1915036,,aespa: Amazon Music Live,aespa: Amazon Music Live,2025,Prime Video,sem_imdb_id
1138124,,Aftershock,Aftershock,2022,Disney+,sem_imdb_id
1673735,,Agape: The Unconditional Love,Agape: The Unconditional Love,2025,Netflix,sem_imdb_id
1426640,,Ahsoka: Sabine's Loth-Cat,Ahsoka: Sabine's Loth-Cat,2023,Disney+,sem_imdb_id
850465,,Aileen Wuornos : Mind of a Monster,Aileen Wuornos: A Mente de um Monstro,2020,HBO Max,sem_imdb_id
990828,,Al Davis vs. The NFL,Al Davis vs. The NFL,2021,Disney+,sem_imdb_id
1032962,,Alexander Revisited: The Final Cut,Alexandre: A Versão Final,2007,Netflix,sem_imdb_id
1165219,,Ali Wong: Don Wong,Ali Wong: Don Wong,2022,Netflix,sem_imdb_id
1941,,Alice Through the Looking Glass,Alice do Outro Lado do Espelho,2016,Disney+,sem_imdb_id
